14	70	"A3"	"A3"	2023	"2023-11-20 23:35:23.639294"	"2023-11-20 23:35:23.639294"	false
17	70	"A4"	"A4"	2023	"2023-12-02 19:27:16.580404"	"2023-12-02 19:27:16.580404"	false
18	70	"A5"	"A5"	2023	"2023-12-02 19:27:47.478902"	"2023-12-02 19:27:47.478902"	false
19	70	"A6"	"A6"	2023	"2023-12-02 19:28:06.099627"	"2023-12-02 19:28:06.099627"	false
20	70	"A7"	"A7"	2023	"2023-12-02 19:28:29.10744"	"2023-12-02 19:28:29.10744"	false
21	70	"A8"	"A8"	2023	"2023-12-02 19:28:57.092019"	"2023-12-02 19:28:57.092019"	false
22	70	"Q2"	"Q2"	2023	"2023-12-02 19:29:29.794267"	"2023-12-02 19:29:29.794267"	false
23	70	"Q3"	"Q3"	2023	"2023-12-02 19:29:55.059672"	"2023-12-02 19:29:55.059672"	false
24	70	"Q5"	"Q5"	2023	"2023-12-02 19:30:15.223129"	"2023-12-02 19:30:15.223129"	false
25	70	"Q7"	"Q7"	2023	"2023-12-02 19:30:33.2999"	"2023-12-02 19:30:33.2999"	false
26	70	"Q8"	"Q8"	2023	"2023-12-02 19:31:00.654568"	"2023-12-02 19:31:00.654568"	false
27	70	"Q8 e-tron"	"Q8-e-tron"	2023	"2023-12-02 19:32:03.859375"	"2023-12-02 19:32:03.859375"	false
28	70	"e-tron GT"	"e-tron GT"	2023	"2023-12-02 19:32:22.239583"	"2023-12-02 19:32:22.239583"	false
